target,target_label,combination,n_features,model,cv_accuracy_mean,cv_accuracy_std
asic_area,ASIC7 Area (um2),luts + nets + unicontrolsets,3,SGDClassifier,0.4667,0.1886
asic_area,ASIC7 Area (um2),luts + ffs + distram,3,LogisticRegression,0.5333,0.2494
asic_area,ASIC7 Area (um2),luts + ffs + distram,3,Perceptron,0.6,0.0
asic_area,ASIC7 Area (um2),luts + ffs + distram,3,SGDClassifier,0.6,0.0
asic_area,ASIC7 Area (um2),luts + ffs + unicontrolsets,3,LogisticRegression,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + ffs + unicontrolsets,3,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + ffs + unicontrolsets,3,SGDClassifier,0.4,0.1633
asic_area,ASIC7 Area (um2),luts + distram + unicontrolsets,3,LogisticRegression,0.4667,0.1886
asic_area,ASIC7 Area (um2),luts + distram + unicontrolsets,3,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + distram + unicontrolsets,3,SGDClassifier,0.6,0.1633
asic_area,ASIC7 Area (um2),fmax + power + nets,3,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + power + nets,3,Perceptron,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + power + nets,3,SGDClassifier,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + power + ffs,3,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + power + ffs,3,Perceptron,0.7333,0.0943
asic_area,ASIC7 Area (um2),fmax + power + ffs,3,SGDClassifier,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + power + distram,3,LogisticRegression,0.6,0.1633
asic_area,ASIC7 Area (um2),fmax + power + distram,3,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),fmax + power + distram,3,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),fmax + power + unicontrolsets,3,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + power + unicontrolsets,3,Perceptron,0.4,0.1633
asic_area,ASIC7 Area (um2),fmax + power + unicontrolsets,3,SGDClassifier,0.4,0.1633
asic_area,ASIC7 Area (um2),fmax + nets + ffs,3,LogisticRegression,0.7333,0.0943
asic_area,ASIC7 Area (um2),fmax + nets + ffs,3,Perceptron,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + nets + ffs,3,SGDClassifier,0.6,0.0
asic_area,ASIC7 Area (um2),fmax + nets + distram,3,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + nets + distram,3,Perceptron,0.6,0.1633
asic_area,ASIC7 Area (um2),fmax + nets + distram,3,SGDClassifier,0.6,0.1633
asic_area,ASIC7 Area (um2),fmax + nets + unicontrolsets,3,LogisticRegression,0.7333,0.0943
asic_area,ASIC7 Area (um2),fmax + nets + unicontrolsets,3,Perceptron,0.6,0.0
asic_area,ASIC7 Area (um2),fmax + nets + unicontrolsets,3,SGDClassifier,0.6,0.0
asic_area,ASIC7 Area (um2),fmax + ffs + distram,3,LogisticRegression,0.7333,0.0943
asic_area,ASIC7 Area (um2),fmax + ffs + distram,3,Perceptron,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + ffs + distram,3,SGDClassifier,0.7333,0.0943
asic_area,ASIC7 Area (um2),fmax + ffs + unicontrolsets,3,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + ffs + unicontrolsets,3,Perceptron,0.6,0.0
asic_area,ASIC7 Area (um2),fmax + ffs + unicontrolsets,3,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),fmax + distram + unicontrolsets,3,LogisticRegression,0.6,0.0
asic_area,ASIC7 Area (um2),fmax + distram + unicontrolsets,3,Perceptron,0.5333,0.2494
asic_area,ASIC7 Area (um2),fmax + distram + unicontrolsets,3,SGDClassifier,0.4,0.2828
asic_area,ASIC7 Area (um2),power + nets + ffs,3,LogisticRegression,0.5333,0.0943
asic_area,ASIC7 Area (um2),power + nets + ffs,3,Perceptron,0.4,0.1633
asic_area,ASIC7 Area (um2),power + nets + ffs,3,SGDClassifier,0.6,0.0
asic_area,ASIC7 Area (um2),power + nets + distram,3,LogisticRegression,0.5333,0.0943
asic_area,ASIC7 Area (um2),power + nets + distram,3,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),power + nets + distram,3,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),power + nets + unicontrolsets,3,LogisticRegression,0.5333,0.2494
asic_area,ASIC7 Area (um2),power + nets + unicontrolsets,3,Perceptron,0.4,0.1633
asic_area,ASIC7 Area (um2),power + nets + unicontrolsets,3,SGDClassifier,0.4,0.1633
asic_area,ASIC7 Area (um2),power + ffs + distram,3,LogisticRegression,0.4667,0.1886
asic_area,ASIC7 Area (um2),power + ffs + distram,3,Perceptron,0.6,0.0
asic_area,ASIC7 Area (um2),power + ffs + distram,3,SGDClassifier,0.4667,0.0943
asic_area,ASIC7 Area (um2),power + ffs + unicontrolsets,3,LogisticRegression,0.4,0.2828
asic_area,ASIC7 Area (um2),power + ffs + unicontrolsets,3,Perceptron,0.3333,0.1886
asic_area,ASIC7 Area (um2),power + ffs + unicontrolsets,3,SGDClassifier,0.3333,0.1886
asic_area,ASIC7 Area (um2),power + distram + unicontrolsets,3,LogisticRegression,0.4,0.1633
asic_area,ASIC7 Area (um2),power + distram + unicontrolsets,3,Perceptron,0.4667,0.2494
asic_area,ASIC7 Area (um2),power + distram + unicontrolsets,3,SGDClassifier,0.4,0.1633
asic_area,ASIC7 Area (um2),nets + ffs + distram,3,LogisticRegression,0.6,0.1633
asic_area,ASIC7 Area (um2),nets + ffs + distram,3,Perceptron,0.6,0.0
asic_area,ASIC7 Area (um2),nets + ffs + distram,3,SGDClassifier,0.6667,0.0943
asic_area,ASIC7 Area (um2),nets + ffs + unicontrolsets,3,LogisticRegression,0.5333,0.0943
