pdk,target,target_label,combination,n_features,model,cv_accuracy_mean,cv_accuracy_std
ASIC7,fpga_fmax,FPGA Fmax (MHz),power,1,Perceptron,0.3333,0.2494
ASIC7,fpga_fmax,FPGA Fmax (MHz),power,1,SGDClassifier,0.3333,0.2494
ASIC7,fpga_fmax,FPGA Fmax (MHz),nets,1,LogisticRegression,0.4667,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),nets,1,Perceptron,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),nets,1,SGDClassifier,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),registers,1,LogisticRegression,0.5333,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),registers,1,Perceptron,0.4667,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),registers,1,SGDClassifier,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax,2,LogisticRegression,0.6667,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax,2,Perceptron,0.8,0.0
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax,2,SGDClassifier,0.7333,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + power,2,LogisticRegression,0.4667,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + power,2,Perceptron,0.4,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + power,2,SGDClassifier,0.3333,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + nets,2,LogisticRegression,0.5333,0.2494
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + nets,2,Perceptron,0.4667,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + nets,2,SGDClassifier,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + registers,2,LogisticRegression,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + registers,2,Perceptron,0.5333,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + registers,2,SGDClassifier,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + power,2,LogisticRegression,0.4,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + power,2,Perceptron,0.5333,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + power,2,SGDClassifier,0.5333,0.2494
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + nets,2,LogisticRegression,0.6667,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + nets,2,Perceptron,0.6,0.0
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + nets,2,SGDClassifier,0.6667,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + registers,2,LogisticRegression,0.6,0.0
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + registers,2,Perceptron,0.5333,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + registers,2,SGDClassifier,0.5333,0.2494
ASIC7,fpga_fmax,FPGA Fmax (MHz),power + nets,2,LogisticRegression,0.4667,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),power + nets,2,Perceptron,0.3333,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),power + nets,2,SGDClassifier,0.3333,0.2494
ASIC7,fpga_fmax,FPGA Fmax (MHz),power + registers,2,LogisticRegression,0.4,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),power + registers,2,Perceptron,0.2,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),power + registers,2,SGDClassifier,0.3333,0.2494
ASIC7,fpga_fmax,FPGA Fmax (MHz),nets + registers,2,LogisticRegression,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),nets + registers,2,Perceptron,0.4667,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),nets + registers,2,SGDClassifier,0.5333,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + power,3,LogisticRegression,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + power,3,Perceptron,0.5333,0.2494
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + power,3,SGDClassifier,0.5333,0.2494
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + nets,3,LogisticRegression,0.6667,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + nets,3,Perceptron,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + nets,3,SGDClassifier,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + registers,3,LogisticRegression,0.5333,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + registers,3,Perceptron,0.5333,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + registers,3,SGDClassifier,0.6667,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + power + nets,3,LogisticRegression,0.5333,0.2494
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + power + nets,3,Perceptron,0.4,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + power + nets,3,SGDClassifier,0.4667,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + power + registers,3,LogisticRegression,0.4667,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + power + registers,3,Perceptron,0.5333,0.2494
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + power + registers,3,SGDClassifier,0.3333,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + nets + registers,3,LogisticRegression,0.5333,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + nets + registers,3,Perceptron,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + nets + registers,3,SGDClassifier,0.5333,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + power + nets,3,LogisticRegression,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + power + nets,3,Perceptron,0.5333,0.3771
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + power + nets,3,SGDClassifier,0.6667,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + power + registers,3,LogisticRegression,0.4667,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + power + registers,3,Perceptron,0.5333,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + power + registers,3,SGDClassifier,0.4,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + nets + registers,3,LogisticRegression,0.4667,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + nets + registers,3,Perceptron,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + nets + registers,3,SGDClassifier,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),power + nets + registers,3,LogisticRegression,0.4667,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),power + nets + registers,3,Perceptron,0.4667,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),power + nets + registers,3,SGDClassifier,0.3333,0.2494
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + power + nets,4,LogisticRegression,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + power + nets,4,Perceptron,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + power + nets,4,SGDClassifier,0.6,0.2828
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + power + registers,4,LogisticRegression,0.5333,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + power + registers,4,Perceptron,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + power + registers,4,SGDClassifier,0.4667,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + nets + registers,4,LogisticRegression,0.4667,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + nets + registers,4,Perceptron,0.5333,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + nets + registers,4,SGDClassifier,0.5333,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + power + nets + registers,4,LogisticRegression,0.4667,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + power + nets + registers,4,Perceptron,0.4667,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + power + nets + registers,4,SGDClassifier,0.2667,0.2494
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + power + nets + registers,4,LogisticRegression,0.4667,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + power + nets + registers,4,Perceptron,0.5333,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax + power + nets + registers,4,SGDClassifier,0.4667,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + power + nets + registers,5,LogisticRegression,0.5333,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + power + nets + registers,5,Perceptron,0.5333,0.2494
ASIC7,fpga_fmax,FPGA Fmax (MHz),area + fmax + power + nets + registers,5,SGDClassifier,0.4667,0.1886
ASIC7,fpga_power,FPGA Power (mW),area,1,LogisticRegression,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),area,1,Perceptron,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),area,1,SGDClassifier,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),fmax,1,LogisticRegression,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),fmax,1,Perceptron,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),fmax,1,SGDClassifier,0.3333,0.1886
ASIC7,fpga_power,FPGA Power (mW),power,1,LogisticRegression,0.4,0.0
ASIC7,fpga_power,FPGA Power (mW),power,1,Perceptron,0.3333,0.1886
ASIC7,fpga_power,FPGA Power (mW),power,1,SGDClassifier,0.3333,0.1886
ASIC7,fpga_power,FPGA Power (mW),nets,1,LogisticRegression,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),nets,1,Perceptron,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),nets,1,SGDClassifier,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),registers,1,LogisticRegression,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),registers,1,Perceptron,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),registers,1,SGDClassifier,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),area + fmax,2,LogisticRegression,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + fmax,2,Perceptron,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + fmax,2,SGDClassifier,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),area + power,2,LogisticRegression,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + power,2,Perceptron,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + power,2,SGDClassifier,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + nets,2,LogisticRegression,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + nets,2,Perceptron,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),area + nets,2,SGDClassifier,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + registers,2,LogisticRegression,0.4667,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + registers,2,Perceptron,0.5333,0.1886
ASIC7,fpga_power,FPGA Power (mW),area + registers,2,SGDClassifier,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),fmax + power,2,LogisticRegression,0.4,0.0
ASIC7,fpga_power,FPGA Power (mW),fmax + power,2,Perceptron,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),fmax + power,2,SGDClassifier,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),fmax + nets,2,LogisticRegression,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),fmax + nets,2,Perceptron,0.3333,0.1886
ASIC7,fpga_power,FPGA Power (mW),fmax + nets,2,SGDClassifier,0.3333,0.1886
ASIC7,fpga_power,FPGA Power (mW),fmax + registers,2,LogisticRegression,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),fmax + registers,2,Perceptron,0.3333,0.1886
ASIC7,fpga_power,FPGA Power (mW),fmax + registers,2,SGDClassifier,0.3333,0.1886
ASIC7,fpga_power,FPGA Power (mW),power + nets,2,LogisticRegression,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),power + nets,2,Perceptron,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),power + nets,2,SGDClassifier,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),power + registers,2,LogisticRegression,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),power + registers,2,Perceptron,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),power + registers,2,SGDClassifier,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),nets + registers,2,LogisticRegression,0.4667,0.0943
ASIC7,fpga_power,FPGA Power (mW),nets + registers,2,Perceptron,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),nets + registers,2,SGDClassifier,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),area + fmax + power,3,LogisticRegression,0.3333,0.0943
